City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
4,Rikitea,PF,78.66,scattered clouds,-23.1203,-134.9692,People ThankYou
6,Havelock,US,70.02,broken clouds,34.8791,-76.9013,Sherwood Motel
10,Bandarbeyla,SO,77.7,clear sky,9.4942,50.8122,JABIR HOTEL
11,Tougue,GN,79.83,broken clouds,11.4667,-11.6,
13,Monrovia,LR,79.03,broken clouds,6.3005,-10.7969,Sunset Inn
15,Atuona,PF,79.34,clear sky,-9.8,-139.0333,Villa Enata
16,Vila Velha,BR,82.35,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
21,Yulara,AU,71.44,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
24,Kahului,US,86.02,clear sky,20.8947,-156.47,Maui Seaside Hotel
27,Georgetown,MY,78.73,thunderstorm,5.4112,100.3354,Cititel Penang
32,Butaritari,KI,81.27,light rain,3.0707,172.7902,Isles Sunset Lodge
34,Kavaratti,IN,83.19,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
35,Salinas,US,77.99,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
38,Dingle,PH,79.66,light rain,10.9995,122.6711,SEGAYA PROPERTY
39,Hilo,US,76.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
41,Moerai,PF,81.55,broken clouds,-22.4333,-151.3333,Le Manotel
45,Araouane,ML,85.39,clear sky,18.9048,-3.5265,
48,Kavieng,PG,80.49,moderate rain,-2.5744,150.7967,Nusa Island Retreat
55,Avarua,CK,86.05,overcast clouds,-21.2078,-159.775,Paradise Inn
56,Tshikapa,CD,70.95,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
57,Kapaa,US,79.2,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Mayumba,GA,77.18,overcast clouds,-3.432,10.6554,LIKWALE LODGE
60,Pathein,MM,78.49,overcast clouds,16.7833,94.7333,Pathein Hotel
61,Sur,OM,81.41,clear sky,22.5667,59.5289,Sur Plaza Hotel
64,Zhuhai,CN,70.86,clear sky,22.2769,113.5678,珠海粤财假日酒店
65,Ngunguru,NZ,72.46,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
