City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Sao Joao Da Barra,3,BR,2022-04-04 08:04:26,92,-21.6403,-41.0511,72.75,5.66
1,Busselton,0,AU,2022-04-04 08:04:27,41,-33.65,115.3333,72.41,15.64
2,Punta Arenas,60,CL,2022-04-04 08:04:27,86,-53.15,-70.9167,37.11,22.48
3,Biak,100,ID,2022-04-04 08:04:27,80,-0.9131,122.8766,79.97,1.52
4,Esna,100,EG,2022-04-04 08:04:28,8,25.2934,32.554,93.27,3.65
5,Ushuaia,46,AR,2022-04-04 08:00:51,93,-54.8,-68.3,33.46,4.16
6,Guerrero Negro,94,MX,2022-04-04 08:04:28,64,27.9769,-114.0611,61.02,18.25
7,San Andres Del Rabanedo,0,ES,2022-04-04 08:04:28,64,42.6117,-5.6167,35.2,4.61
8,Ostrovnoy,100,RU,2022-04-04 08:04:29,87,68.0531,39.5131,22.15,9.15
9,Avarua,20,CK,2022-04-04 08:04:29,94,-21.2078,-159.775,75.25,1.14
10,Qaanaaq,97,GL,2022-04-04 08:04:29,65,77.484,-69.3632,12.15,8.63
11,Kidal,56,ML,2022-04-04 08:04:30,4,18.4411,1.4078,91.47,4.34
12,Tuktoyaktuk,100,CA,2022-04-04 08:04:30,98,69.4541,-133.0374,-11.99,6.67
13,Krasnyy Oktyabr,100,RU,2022-04-04 08:04:30,83,56.1167,38.8833,30.7,5.84
14,San Patricio,99,US,2022-04-04 08:04:30,66,28.017,-97.5169,74.89,12.73
15,Jamestown,75,US,2022-04-04 08:00:04,68,42.097,-79.2353,31.71,5.75
16,Hithadhoo,100,MV,2022-04-04 08:04:31,67,-0.6,73.0833,83.57,4.56
17,New Norfolk,66,AU,2022-04-04 08:04:31,77,-42.7826,147.0587,62.71,1.99
18,Sitka,100,US,2022-04-04 08:04:31,81,57.0531,-135.33,39.09,6.91
19,Castro,100,BR,2022-04-04 08:04:32,96,-24.7911,-50.0119,61.99,3.49
20,Ocampo,1,MX,2022-04-04 08:04:32,18,21.65,-101.5,56.97,5.68
21,Bluff,100,NZ,2022-04-04 08:01:12,80,-46.6,168.3333,57.47,1.05
22,East London,20,ZA,2022-04-04 08:00:39,78,-33.0153,27.9116,72.54,10.36
23,Aksu,0,CN,2022-04-04 08:04:32,15,41.1231,80.2644,72.01,6.91
24,Togur,100,RU,2022-04-04 08:04:33,96,58.3631,82.8265,31.91,12.12
25,Vila Velha,100,BR,2022-04-04 08:04:33,94,-20.3297,-40.2925,75.15,2.3
26,Mar Del Plata,6,AR,2022-04-04 08:04:33,54,-38.0023,-57.5575,53.87,5.01
27,Gushikawa,75,JP,2022-04-04 08:04:33,58,26.3544,127.8686,69.39,12.66
28,Albany,77,US,2022-04-04 08:00:02,85,42.6001,-73.9662,35.76,8.01
29,Kashi,8,CN,2022-04-04 08:04:34,15,39.4547,75.9797,71.33,7.61
30,Iqaluit,100,CA,2022-04-04 08:04:34,83,63.7506,-68.5145,6.62,14.79
31,Mataura,100,NZ,2022-04-04 08:04:34,81,-46.1927,168.8643,55.02,0.85
32,Pisco,23,PE,2022-04-04 08:04:35,91,-13.7,-76.2167,64.02,2.04
33,Bethel,100,US,2022-04-04 08:04:35,87,41.3712,-73.414,39.49,5.01
34,Pevek,14,RU,2022-04-04 08:04:35,98,69.7008,170.3133,-14.3,4.14
35,Rikitea,100,PF,2022-04-04 08:04:36,62,-23.1203,-134.9692,78.24,8.37
36,Jalu,4,LY,2022-04-04 08:04:36,10,29.0331,21.5482,84.02,16.46
37,Homer,100,US,2022-04-04 08:04:36,92,59.6425,-151.5483,34.81,0.0
38,Arraial Do Cabo,3,BR,2022-04-04 08:04:36,88,-22.9661,-42.0278,74.48,6.08
39,Yarada,20,IN,2022-04-04 08:04:37,55,17.65,83.2667,91.72,12.66
40,Clyde River,100,CA,2022-04-04 08:04:27,91,70.4692,-68.5914,14.36,2.59
41,Porkhov,96,RU,2022-04-04 08:04:37,68,57.765,29.5561,36.05,9.26
42,Cape Town,89,ZA,2022-04-04 08:03:55,77,-33.9258,18.4232,67.12,7.0
43,Airai,53,TL,2022-04-04 08:04:37,69,-8.9266,125.4092,69.69,2.04
44,Bredasdorp,8,ZA,2022-04-04 08:04:38,55,-34.5322,20.0403,68.56,9.93
45,Hermanus,0,ZA,2022-04-04 08:05:38,64,-34.4187,19.2345,67.8,8.95
46,Calamar,100,CO,2022-04-04 08:05:38,77,10.2511,-74.9146,79.18,3.36
47,Genc,0,TR,2022-04-04 08:05:39,34,38.7507,40.5603,62.96,4.61
48,Hobart,75,AU,2022-04-04 08:05:39,84,-42.8794,147.3294,63.05,8.05
49,Yellowknife,100,CA,2022-04-04 08:00:43,85,62.456,-114.3525,23.41,14.14
50,Plouzane,0,FR,2022-04-04 08:05:39,66,48.3833,-4.6167,46.58,11.5
51,Walvis Bay,0,NA,2022-04-04 08:05:40,65,-22.9575,14.5053,62.1,4.83
52,Tessalit,1,ML,2022-04-04 08:05:40,8,20.1986,1.0114,90.63,7.11
53,Salym,100,RU,2022-04-04 08:05:40,100,60.0625,71.4789,38.21,9.82
54,Caravelas,0,BR,2022-04-04 08:05:40,88,-17.7125,-39.2481,73.92,2.57
55,Puerto Ayora,87,EC,2022-04-04 08:05:41,95,-0.7393,-90.3518,75.54,5.32
56,Bambous Virieux,75,MU,2022-04-04 08:05:41,78,-20.3428,57.7575,82.65,12.66
57,Komsomolskiy,26,UZ,2022-04-04 08:05:41,25,40.4272,71.7189,75.92,4.61
58,Kanigoro,22,ID,2022-04-04 08:05:42,74,-8.13,112.219,82.54,8.5
59,Roros,75,NO,2022-04-04 08:05:42,80,62.5747,11.3842,22.84,4.61
60,Yar-Sale,100,RU,2022-04-04 08:05:42,95,66.8333,70.8333,24.58,25.79
61,Naze,0,JP,2022-04-04 08:01:47,52,28.3667,129.4833,62.24,12.57
62,Lebu,42,CL,2022-04-04 08:05:42,81,-37.6167,-73.65,49.06,14.99
63,Bilma,48,NE,2022-04-04 08:05:43,5,18.6853,12.9164,92.68,8.97
64,Dikson,23,RU,2022-04-04 08:05:43,88,73.5069,80.5464,9.07,10.25
65,Port Alfred,0,ZA,2022-04-04 08:05:43,73,-33.5906,26.891,74.17,5.01
66,Maltahohe,0,NA,2022-04-04 08:05:44,22,-24.8333,16.9833,66.83,12.77
67,Osoyoos,100,CA,2022-04-04 08:00:51,73,49.0331,-119.4524,44.33,5.93
